PACKAGE OF 650W PANELS(SINGLE PHASE),,,,,,,,,,,,
NO PANELS,INVERTER SIZE,INVERTER MODEL,PANELS TYPE,Package Name,Invoice Description,Type,Price,,,,,
8,4,1X [1P] SAJ R5 4KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[1P] STRING SAJ JINKO 8 PCS,"8X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [1P] SAJ R5 4KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM19,100.00 ",,,,,
9,4,1X [1P] SAJ R5 4KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[1P] STRING SAJ JINKO 9 PCS,"9X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [1P] SAJ R5 4KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM20,210.00 ",,,,,
10,5,1X [1P] SAJ R5 5KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[1P] STRING SAJ JINKO 10 PCS,"10X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [1P] SAJ R5 5KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM21,320.00 ",,,,,
11,5,1X [1P] SAJ R5 5KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[1P] STRING SAJ JINKO 11 PCS,"11X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [1P] SAJ R5 5KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM24,100.00 ",,,,,
12,5,1X [1P] SAJ R5 5KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[1P] STRING SAJ JINKO 12 PCS,"12X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [1P] SAJ R5 5KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM25,225.00 ",,,,,
13,6,1X [1P] SAJ R5 6KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[1P] STRING SAJ JINKO 13 PCS,"13X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [1P] SAJ R5 6KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM26,440.00 ",,,,,
14,7,1X [1P] SAJ R5 7KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[1P] STRING SAJ JINKO 14 PCS,"14X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [1P] SAJ R5 7KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM28,210.00 ",,,,,
15,7,1X [1P] SAJ R5 7KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[1P] STRING SAJ JINKO 15 PCS,"15X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [1P] SAJ R5 7KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM29,310.00 ",,,,,
16,7,1X [1P] SAJ R5 7KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[1P] STRING SAJ JINKO 16 PCS,"16X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [1P] SAJ R5 7KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM31,120.00 ",,,,,
17,8,1X [1P] SAJ R5 8KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  ,[1P] STRING SAJ JINKO 17 PCS,"17X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon  
1X [1P] SAJ R5 8KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",Residential," RM32,230.00 ",,,,,
